#DRSE 153 Mpc
#frequency seismic suspension_thermal mirror_thermal quantum quantum_squeezing total
2.210e+00 1.533e-18 2.070e-20 1.448e-23 6.087e-21 1.242e-20 1.533e-18
2.230e+00 1.428e-18 1.936e-20 1.441e-23 5.976e-21 1.219e-20 1.428e-18
2.251e+00 1.330e-18 1.817e-20 1.435e-23 5.867e-21 1.197e-20 1.330e-18
2.272e+00 1.239e-18 1.709e-20 1.429e-23 5.760e-21 1.175e-20 1.239e-18
2.293e+00 1.154e-18 1.612e-20 1.422e-23 5.654e-21 1.154e-20 1.154e-18
2.314e+00 1.075e-18 1.524e-20 1.416e-23 5.551e-21 1.133e-20 1.075e-18
2.335e+00 1.002e-18 1.443e-20 1.409e-23 5.449e-21 1.112e-20 1.002e-18
2.357e+00 9.334e-19 1.369e-20 1.403e-23 5.350e-21 1.092e-20 9.335e-19
2.379e+00 8.697e-19 1.301e-20 1.397e-23 5.252e-21 1.072e-20 8.698e-19
2.401e+00 8.103e-19 1.238e-20 1.390e-23 5.156e-21 1.053e-20 8.104e-19
2.423e+00 7.551e-19 1.180e-20 1.384e-23 5.062e-21 1.033e-20 7.552e-19
2.446e+00 7.036e-19 1.127e-20 1.378e-23 4.969e-21 1.015e-20 7.038e-19
2.468e+00 6.557e-19 1.076e-20 1.372e-23 4.878e-21 9.960e-21 6.559e-19
2.491e+00 6.111e-19 1.030e-20 1.366e-23 4.789e-21 9.779e-21 6.112e-19
2.514e+00 5.696e-19 9.860e-21 1.360e-23 4.701e-21 9.601e-21 5.697e-19
2.537e+00 5.309e-19 9.451e-21 1.353e-23 4.615e-21 9.426e-21 5.310e-19
2.561e+00 4.949e-19 9.067e-21 1.347e-23 4.531e-21 9.254e-21 4.950e-19
2.585e+00 4.613e-19 8.706e-21 1.341e-23 4.448e-21 9.085e-21 4.614e-19
2.609e+00 4.300e-19 8.366e-21 1.335e-23 4.367e-21 8.920e-21 4.301e-19
2.633e+00 4.009e-19 8.045e-21 1.329e-23 4.287e-21 8.757e-21 4.010e-19
2.657e+00 3.738e-19 7.742e-21 1.323e-23 4.208e-21 8.598e-21 3.739e-19
2.682e+00 3.485e-19 7.455e-21 1.317e-23 4.131e-21 8.441e-21 3.486e-19
2.707e+00 3.250e-19 7.183e-21 1.312e-23 4.056e-21 8.287e-21 3.251e-19
2.732e+00 3.030e-19 6.925e-21 1.306e-23 3.982e-21 8.136e-21 3.031e-19
2.757e+00 2.826e-19 6.680e-21 1.300e-23 3.909e-21 7.988e-21 2.827e-19
2.783e+00 2.635e-19 6.447e-21 1.294e-23 3.837e-21 7.843e-21 2.636e-19
2.808e+00 2.458e-19 6.226e-21 1.288e-23 3.767e-21 7.700e-21 2.459e-19
2.834e+00 2.292e-19 6.014e-21 1.282e-23 3.698e-21 7.560e-21 2.293e-19
2.861e+00 2.138e-19 5.812e-21 1.277e-23 3.631e-21 7.422e-21 2.139e-19
2.887e+00 1.995e-19 5.620e-21 1.271e-23 3.564e-21 7.287e-21 1.996e-19
2.914e+00 1.861e-19 5.436e-21 1.265e-23 3.499e-21 7.154e-21 1.862e-19
2.941e+00 1.736e-19 5.260e-21 1.260e-23 3.435e-21 7.024e-21 1.737e-19
2.968e+00 1.620e-19 5.091e-21 1.254e-23 3.372e-21 6.896e-21 1.621e-19
2.996e+00 1.511e-19 4.930e-21 1.248e-23 3.310e-21 6.771e-21 1.512e-19
3.023e+00 1.410e-19 4.775e-21 1.243e-23 3.250e-21 6.647e-21 1.411e-19
3.051e+00 1.316e-19 4.626e-21 1.237e-23 3.190e-21 6.526e-21 1.317e-19
3.080e+00 1.228e-19 4.484e-21 1.232e-23 3.132e-21 6.408e-21 1.229e-19
3.108e+00 1.146e-19 4.347e-21 1.226e-23 3.075e-21 6.291e-21 1.147e-19
3.137e+00 1.070e-19 4.215e-21 1.221e-23 3.018e-21 6.176e-21 1.071e-19
3.166e+00 9.985e-20 4.089e-21 1.215e-23 2.963e-21 6.064e-21 9.997e-20
3.195e+00 9.320e-20 3.967e-21 1.210e-23 2.909e-21 5.954e-21 9.333e-20
3.225e+00 8.701e-20 3.849e-21 1.204e-23 2.856e-21 5.845e-21 8.714e-20
3.255e+00 8.123e-20 3.736e-21 1.199e-23 2.803e-21 5.739e-21 8.136e-20
3.285e+00 7.584e-20 3.627e-21 1.194e-23 2.752e-21 5.635e-21 7.598e-20
3.315e+00 7.081e-20 3.522e-21 1.188e-23 2.702e-21 5.532e-21 7.095e-20
3.346e+00 6.612e-20 3.421e-21 1.183e-23 2.652e-21 5.432e-21 6.626e-20
3.377e+00 6.175e-20 3.323e-21 1.178e-23 2.604e-21 5.333e-21 6.189e-20
3.408e+00 5.767e-20 3.229e-21 1.172e-23 2.556e-21 5.236e-21 5.781e-20
